TITLE = "problem plate_strain1"
VARIABLES =    "X"   "Y"   "Z" "DIS"

ZONE T="Time =       0.0000" F=FEPOINT N=    4 E=    1 ET=QUADRILATERAL C=CYAN
      0.0000      0.0000      0.0000      0.0000
    100.0000      0.0000      0.0000      0.0000
    100.0000    100.0000      0.0000      0.0000
      0.0000    100.0000      0.0000      0.0000
           1           2           3           4
ZONE T="Time =       1.0000" F=FEPOINT N=    4 E=    1 ET=QUADRILATERAL C=CYAN
      0.0000      0.0000      0.0000      0.0000
    100.0000      0.0000      0.0000      0.0000
     98.3881    109.4030      0.0000      9.5402
      1.6119    109.4030      0.0000      9.5402
           1           2           3           4
